Release Date,Time,Actual,Forecast,Previous
20-Apr-16,9:30,2.080M,2.400M,6.634M
13-Apr-16,9:30,6.634M,1.850M,-4.937M
6-Apr-16,9:30,-4.937M,3.150M,2.299M
30-Mar-16,9:30,2.299M,3.300M,9.357M
23-Mar-16,9:30,9.357M,3.090M,1.317M
16-Mar-16,9:30,1.317M,3.414M,3.880M
9-Mar-16,10:30,3.880M,3.867M,10.374M
2-Mar-16,10:30,10.374M,3.604M,3.502M
24-Feb-16,10:30,3.502M,3.427M,2.147M
18-Feb-16,11:00,2.147M,3.920M,-0.754M
10-Feb-16,10:30,-0.754M,3.550M,7.792M
3-Feb-16,10:30,7.792M,4.760M,8.383M
27-Jan-16,10:30,8.383M,3.277M,3.979M
21-Jan-16,11:00,3.979M,2.811M,0.234M
13-Jan-16,10:30,0.234M,2.504M,-5.085M
6-Jan-16,10:30,-5.085M,0.439M,2.629M
30-Dec-15,10:30,2.629M,-2.457M,-5.877M
23-Dec-15,10:30,-5.877M,1.083M,4.801M
16-Dec-15,10:30,4.801M,-1.417M,-3.568M
9-Dec-15,10:30,-3.568M,0.252M,1.177M
2-Dec-15,10:30,1.177M,-0.471M,0.961M
25-Nov-15,10:30,0.961M,1.200M,0.252M
18-Nov-15,10:30,0.252M,1.900M,4.224M
12-Nov-15,11:00,4.224M,1.016M,2.847M
